id,name,link,current_price,original_price,discount_rate,rating_average,quantity_sold,authors,seller_name,category,manufacturer,short_description
79126571,Sách Graphic Classics - The Three Musketeers - Ba Chàng Lính Ngự Lâm,https://tiki.vn/product-p79126571.html?spid=87044525,53100,59000,10,5.0,5,Russell Punter,Nhà sách Fahasa,Sách tiếng Việt,Nhà Xuất Bản Hà Nội,"“Mọi người vì một người, một người vì mọi người!” Ở Paris, vào năm 1626, chàng trai trẻ d’Artagnan hồ hởi mong chờ cuộc sống dưới cương vị lính hộ vệ hoàng gia.Chẳng bao lâu, cuộc sống mới như làn gi..."
75947332,Sách Ngày Xửa Ngày Xưa - Aladdin Và Cây Đèn Thần,https://tiki.vn/product-p75947332.html?spid=82936673,15600,16000,3,5.0,17,Indrani Vohra,Nhà sách Fahasa,Truyện cổ tích,Nhà Xuất Bản Thanh Niên,Ngày xửa ngày xưa - Aladdin và cây đèn thần“Truyện cổ tích đến nay vẫn là người thầy đầu tiên của trẻ…”- Walter Benjamin –Truyện kể cho bé trước giờ đi ngủ - Ngày xửa ngày xưa mang đến những câu chuyệ...
16422576,Truyện Cổ Tích Thế Giới Hay Nhất - Cô Bé Quàng Khăn Đỏ (Tái Bản),https://tiki.vn/product-p16422576.html?spid=16422577,12100,16000,24,5.0,82,.,Tiki Trading,Root,,"Kể về ngày xửa ngày xưa, có một cô bé rất là ngoan ngoãn ai cũng yêu mến nhất là bà, bà tặng cho cô bé một chiếc khăn màu đỏ. Cô bé thích lắm ngày nào cũng quàng chiếc khăn, nên mọi người thường gọi c..."
16422520,Truyện Cổ Tích Thế Giới Hay Nhất - Cô Bé Bán Diêm (Tái Bản),https://tiki.vn/product-p16422520.html?spid=24999860,15600,16000,3,4.8,298,.,Nhà sách Fahasa,Root,,"Mỗi câu chuyện trong bộ sách sẽ kể cho trẻ bao điều thú vị về thế giới cổ tích diệu kỳ, đồng thời cũng trao cho trẻ những bài học cuộc sống ý nghĩa.Truyện nhẹ nhàng, dung dị nhưng đặt ra những vấn đề..."
16422498,Truyện Cổ Tích Thế Giới Hay Nhất - Pinochio Cậu Bé Người Gỗ (Tái Bản),https://tiki.vn/product-p16422498.html?spid=16422499,12500,16000,22,5.0,245,.,Tiki Trading,Root,,"Truyện kể cho bé trước giờ đi ngủ - Ngày xửa ngày xưa mang đến những câu chuyện cổ tích quen thuộc đã trở thành kinh điển, tất cả được kể lại một cách ngắn gọn, súc tích cùng với hình ảnh minh họa sốn..."
242086770,Tranh Truyện Dân Gian Việt Nam: Đi Ở Học Thành Tài (Tái bản 2023),https://tiki.vn/product-p242086770.html?spid=242086772,16000,20000,20,5.0,6,"Phạm Ngọc Tuấn, Bùi Lâm Bằng",Tiki Trading,Root,Nhà Xuất Bản Kim Đồng,"Giới thiệu sáchNhững câu chuyện dân gian giúp các em giàu thêm mơ ước, biết sống đẹp và trân trọng truyền thống cha ông.Trích đoạnCậu bé Lệnh Tân mồ côi cha, phải đi ở cho nhà phú ông. Những tưởng ..."
242086748,Tranh Truyện Dân Gian Việt Nam: Sự Tích Cây Nêu Ngày Tết (Tái bản),https://tiki.vn/product-p242086748.html?spid=242086749,15000,20000,25,5.0,20,"Hồng Hà, Nguyễn Bích",Tiki Trading,Truyện cổ tích,Nhà Xuất Bản Kim Đồng,"Giới thiệu sáchNhững câu chuyện dân gian giúp các em giàu thêm mơ ước, biết sống đẹp và trân trọng truyền thống cha ông.CÙNG TÌM ĐỌC HƠN 100 CUỐN TRANH TRUYỆN DN GIAN VIỆT NAM!Trích đoạnXa xưa, lo..."
225207173,"Truyện cổ tích, thần thoại, dân gian, Andersen, Grimm, nghìn lẻ một đêm - Đinh Tị (Truyện Kể Kinh Điển Illustrated Classics)",https://tiki.vn/product-p225207173.html?spid=225207175,143000,168000,15,4.0,167,,Mộc Nhiên Kids Store,Truyện cổ tích,Nhà Xuất Bản Hà Nội,"Truyện cổ tích, thần thoại, dân gian, Andersen, Grimm, nghìn lẻ một đêm - Đinh Tị (Truyện Kể Kinh Điển Illustrated Classics)Tác giả: Nhiều tác giảNXB Thanh Niên / NXB Hà NộiNhà phát hành : Đinh T..."
195624174,Sách Kể Chuyện - Trạng Việt Nam,https://tiki.vn/product-p195624174.html?spid=195624175,37200,67000,44,5.0,34,Vũ Ngọc Khánh,Tiki Trading,Root,Nhà Xuất Bản Văn Học,"Kể Chuyện - Trạng Việt NamLời nói đầu/Giới thiệu sách""Kể Chuyện - Trạng Việt Nam"" là một tuyển tập những câu chuyện thú vị về các trạng nguyên tài năng của Việt Nam. Cuốn sách được NXB Văn Học biên..."
109515304,Truyện Cổ Grim 1,https://tiki.vn/product-p109515304.html?spid=112169899,199500,210000,5,3.0,7,"Jacob, Wilhelm Grimm",Nhà sách Fahasa,Truyện cổ tích,Nhà Xuất Bản Hà Nội,"Từ lúc ra đời đến nay, tập truyện cổ do hai anh em Jacob và Wilhelm Grimm sưu tầm đã trở thành một trong những áng văn chương được đọc nhiều nhất và có tầm ảnh hưởng rộng rãi nhất trên thế giới. Bất c..."
89204259,Sách Tuyển Tập Những Câu Chuyện Kể Hay Nhất Thế Giới - Bạn Thỏ Nhung,https://tiki.vn/product-p89204259.html?spid=89204260,97300,140000,31,5.0,60,Nhiều tác giả,Tiki Trading,Truyện cổ tích,Nhà Xuất Bản Thanh Niên,"Lời nói đầuBạn biết không, hầu hết trẻ em đều thích nghe kể chuyện, vì ở độ tuổi còn rất nhỏ của mình, các em luôn có xu hướng muốn được tìm hiểu và khám phá nhiều hơn về thế giới xung quanh, các em ..."
84651734,Truyện cổ Grimm (Ấn bản đầy đủ nhất kèm 184 minh họa của Philipp Grot Johann và Robert Leinweber),https://tiki.vn/product-p84651734.html?spid=128873723,578000,680000,15,4.8,140,Jacob & Wilhelm Grimm,Đông A Books Official,Truyện cổ tích,Nhà Xuất Bản Hội Nhà Văn,Truyện cổ Grimm (Ấn bản đầy đủ nhất kèm 184 minh họa của Philipp Grot Johann và Robert Leinweber)Tác giả: Jacob & Wilhelm GrimmMinh họa: Philipp Grot Johann và Robert LeinweberDịch giả: Hữu ...
73174772,Full Combo 10 cuốn Truyện Cổ tích (giao ngẫu nhiên),https://tiki.vn/product-p73174772.html?spid=73174773,62400,120000,48,4.5,526,,TUANVIET BOOKS Official Store,Sách tiếng Việt,Nhà Xuất Bản Đồng Nai,"Từ xa xưa, ai cũng nghe trong lời kể của bà của mẹ về cô Tấm nết na, về Thánh Gióng dũng cảm. Những câu chuyện cổ tích luôn theo ta lớn lên hàng ngày từ thuở ầu ơ. Cùng với lời ru những câu chuyện nu..."
69613572,Combo Truyện Cổ Tích Thế Giới - Song Ngữ Việt - Anh,https://tiki.vn/product-p69613572.html?spid=69613573,117600,165000,29,5.0,209,,Phúc Minh Books,Sách tiếng Việt,nxb van hoc,"Nhà xuất bản: Văn họcLời: Vân Trang - Điển DũngMinh họa: Điển Dũng - Hồng LamNhà bác học Einstein khuyên các bậc cha mẹ  rằng ""nếu muốn bọn trẻ được thông minh, hãy đọc truyện cổ tích cho các em ng..."
58547349,Sách Những Câu Chuyện Kinh Điển Dành Cho Trẻ Em - Classic Stories,https://tiki.vn/product-p58547349.html?spid=58547350,108400,156000,31,4.5,30,Nhiều tác giả,Tiki Trading,Sách tiếng Việt,Nhà Xuất Bản Thanh Niên,"Những Câu Chuyện Kinh Điển Dành Cho Trẻ Em - Classic StoriesNhững câu chuyện kinh điển dành cho trẻ em - cuốn sách bao gồm các tác phẩm Cuộc phiêu lưu của Tom Sawyer, Đảo giấu vàng, Robin Hood và Ru..."
16422574,Truyện Cổ Tích Thế Giới Hay Nhất - Vịt Con Xấu Xí (Tái Bản),https://tiki.vn/product-p16422574.html?spid=16422575,12500,16000,22,5.0,51,.,Tiki Trading,Root,,"Thế là mùa hè đến. Giữa trời nắng chang chang, dưới chân một lâu đài cổ, chị vịt đã xây xong cho mình chiếc tổ và nằm ngay vào đẻ và ấp trứng. Vì đã lâu, chị đợi chờ các con ra đời, nên bây giờ chị bắ..."
16422500,Truyện Cổ Tích Thế Giới Hay Nhất - Hoàng Tử Ếch (Tái Bản),https://tiki.vn/product-p16422500.html?spid=16422501,12160,16000,24,5.0,63,.,Tiki Trading,Root,,"Mỗi câu chuyện trong bộ sách sẽ kể cho trẻ bao điều thú vị về thế giới cổ tích diệu kỳ, đồng thời cũng trao cho trẻ những bài học cuộc sống ý nghĩa.Truyện ""Hoàng tử ếch"" dạy các bé phải biết giữ lời ..."
570856,Sách Động Vật Xinh Đẹp,https://tiki.vn/product-p570856.html?spid=306469,52000,78001,33,4.0,126,Trác Việt,Tiki Trading,Root,,Động Vật Xinh Đẹp  Những động vật xinh đẹp luôn có mặt ở khắp mọi nơi trên thế giới. Từ những khóm san hô lộng lẫy dưới đáy biển sâu đến những chú hồng hạc rực rỡ như lửa.  Những loài động vật này đề...
454907,Tranh Truyện Dân Gian Việt Nam - Nàng Tiên Hổ,https://tiki.vn/product-p454907.html?spid=162514,16000,20000,20,5.0,90,Nhóm tác giả,Tiki Trading,Root,Nhà Xuất Bản Kim Đồng,"Tranh Truyện Dân Gian Việt Nam - Nàng Tiên Hổ Những câu chuyện dân gian nuôi dưỡng tâm hồn các em, giúp các em biết học điều hay lẽ phải, yêu cái thiện, ghét cái xấu và trân trọng truyền thống cha ôn..."
